id,name,slug,oldSku,newSku,no,how,conf,agree,suggest,category,capDb,capNas,capWarn,nas,imgSlug
"7ee9ef7c-4d1e-4399-8ae7-45c184116729","USB แฟลชไดร์ฟ - MP3 รวมเพลง 3 ช่าเพื่อชีวิต แฟลชไดร์ฟรวมเพลง","usb-mp3-3cha-peuachiwit-cover","BT-PC-02-045","BT-PC-02-045","45","รูป","รูปตรง 6 ใบ · d3","ชื่อชี้ 32","","เพื่อชีวิต","2GB","2GB","","045. 3ช่าเพื่อชีวิต [2GB]","usb-mp3-3cha-peuachiwit-cover"
"b582eb92-0f46-4ba0-985e-841b65aa87c9","USB แฟลชไดรฟ์ MP3 รวมเพลงสตริงยุค 80s","usb-flash-drive-mp3-includes-80s-era-string-music","BT-ST-01-042","BT-ST-01-042","42","รูป","รูปตรง 8 ใบ · d3","ตรงกัน","","เพลงสตริง","1GB","1GB","","042. สตริง80 [1GB]","usb-flash-drive-mp3-includes-80s-era-string-music"
"13b5beb0-a60b-41aa-b73e-1c99fb1a981d","USB แฟลชไดรฟ์ MP3 รวมเพลงลูกทุ่ง อินดี้ ฮิตตลอดกาล","usb-flash-drive-mp3-includes-country-hits","BT-LT-02-026","BT-LT-02-026","26","รูป","รูปตรง 4 ใบ · d2","ตรงกัน","","ลูกทุ่ง","2GB","2GB","","026. รวมฮิตลูกทุ่ง อินดี้ [2GB]","usb-flash-drive-mp3-includes-country-hits"
"c3a7a656-4dd6-4e13-9c87-14c226cf7f8b","USB แฟลชไดรฟ์ MP3 รวมเพลงฮิต ยุค90s","usb-flash-drive-mp3-90s-greatest-hits","BT-ST-04-043","BT-ST-04-043","43","รูป","รูปตรง 5 ใบ · d3","ชื่อชี้ 4","","เพลงสตริง","4GB","4GB","","043. ฮิต90 - [4GB]","usb-flash-drive-mp3-90s-greatest-hits"
"049562b1-9faf-47c6-bdcb-9fb0ee6b74e7","USB แฟลชไดรฟ์ - MP3 รวมเพลงยุค 90 เพลงเพราะๆ ร็อคคลาสสิกจากยุคทอง","usb-flash-drive-mp3-includes-songs-from-the-90s","BT-ST-02-036","BT-ST-02-036","36","รูป","รูปตรง 6 ใบ · d3","ตรงกัน","","เพลงสตริง","2GB","","","036. ร็อค90 (2GB)","usb-flash-drive-mp3-includes-songs-from-the-90s"
"52cdb1a7-e5a1-46ee-ba73-16fa1a853286","USB แฟลชไดรฟ์ MP3 รวมเพลงลูกกรุงอมตะ สุนทราภรณ์","usb-mp3-luk-krung-suntharaporn","BT-LK-01-013","BT-LK-01-013","13","รูป","รูปตรง 3 ใบ · d4","ชื่อชี้ 3","","ลูกกรุง","1GB","1GB","","013. สุทราภรณ์ [1GB]","usb-flash-drive-mp3-sunarathip"
"535e7f62-768a-4f19-8f45-eb1b3d2145b4","USB แฟลชไดรฟ์ - MP3 รวมเพลงลาบานูน ฟังครบทุกอัลบั้ม ฮิตทุกเพลง","usb-flash-drive-mp3-includes-labanun-songs","BT-ST-01-010","BT-ST-01-010","10","รูป","รูปตรง 3 ใบ · d2","ตรงกัน","","เพลงสตริง","1GB","1GB","","010. ลาบานุน [1GB]","usb-flash-drive-mp3-includes-labanun-songs"
"13cc9199-2576-47e6-93cb-ce557a5e997d","USB แฟลชไดรฟ์ MP3 เสียงใต้ในความทรงจำ – ฟังเพลงใต้ต้นฉบับที่ตราตรึงใจไม่มีวันลืม","usb-mp3-southern-memories-original","BT-TA-04-023","BT-TA-04-023","23","รูป","รูปตรง 9 ใบ · d4","ตรงกัน","","เพลงใต้","4GB","4GB","","023. เสียงใต้ในความทรงจำ [4GB]","usb-mp3-southern-memories-original"
"0c4ca060-e8db-47c5-9d26-9bebedcd08d8","หัวแปลง OTG จิ๋วแต่แจ๋ว! แก้เมมเต็ม ย้ายรูปเข้า Flash Drive ไม่ง้อคอม (Type-C/Micro)","tiny-but-mighty-otg-adapters","BT-AC-00-059","BT-AC-00-059","59","รูป","รูปตรง 8 ใบ · d2","ตรงกัน","","อุปกรณ์เสริม","1GB","","","","tiny-but-mighty-otg-adapters"
"1e865af8-0c53-47ca-b41e-3d48879ea8da","USB แฟลชไดรฟ์ MP3 รวมเพลงแดนซ์ มันส์ๆ เสียบฟังในรถ/ลำโพงได้ทันที/คอม","usb-mp3-dance-vol2","BT-DZ-02-011","BT-DZ-02-011","11","รูป","รูปตรง 9 ใบ · d2","ตรงกัน","","แดนซ์","2GB","2GB","","011. แดนซ์เสียบแล้วโยก [2GB]","usb-mp3-dance-vol2"
